Indicator,continent,code,country,year,sex,Suicide Rate
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2019,Both sexes,12.91
Age-standardized suicide rates (per 100 000 population),Western Pacific,FJI,Fiji,2019,Male,13.08
Age-standardized suicide rates (per 100 000 population),Americas,TTO,Trinidad and Tobago,2019,Male,13.09
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2019,Both sexes,13.11
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2019,Female,13.21
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2019,Both sexes,13.22
Age-standardized suicide rates (per 100 000 population),Africa,GMB,Gambia,2019,Male,13.27
Age-standardized suicide rates (per 100 000 population),Africa,MDG,Madagascar,2019,Male,13.33
Age-standardized suicide rates (per 100 000 population),Americas,CRI,Costa Rica,2019,Male,13.35
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2019,Male,13.4
Age-standardized suicide rates (per 100 000 population),Europe,NOR,Norway,2019,Male,13.4
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2019,Both sexes,13.43
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2019,Female,13.43
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2019,Female,13.46
Age-standardized suicide rates (per 100 000 population),Americas,ARG,Argentina,2019,Male,13.48
Age-standardized suicide rates (per 100 000 population),Europe,BIH,Bosnia and Herzegovina,2019,Male,13.48
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2019,Male,13.49
Age-standardized suicide rates (per 100 000 population),Africa,TZA,United Republic of Tanzania,2019,Male,13.5
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2019,Both sexes,13.51
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2019,Both sexes,13.51
Age-standardized suicide rates (per 100 000 population),Americas,BLZ,Belize,2019,Male,13.64
Age-standardized suicide rates (per 100 000 population),South-East Asia,THA,Thailand,2019,Male,13.87
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2019,Both sexes,13.93
Age-standardized suicide rates (per 100 000 population),Europe,GEO,Georgia,2019,Male,13.97
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2019,Both sexes,13.97
Age-standardized suicide rates (per 100 000 population),Africa,SYC,Seychelles,2019,Male,14
Age-standardized suicide rates (per 100 000 population),Africa,NER,Niger,2019,Male,14.15
Age-standardized suicide rates (per 100 000 population),Europe,CHE,Switzerland,2019,Male,14.16
Age-standardized suicide rates (per 100 000 population),Africa,ETH,Ethiopia,2019,Male,14.16
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2019,Male,14.32
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2019,Both sexes,14.38
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2019,Both sexes,14.43
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2019,Both sexes,14.51
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,PAK,Pakistan,2019,Male,14.55
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2019,Both sexes,14.6
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2019,Both sexes,14.66
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2019,Male,14.69
Age-standardized suicide rates (per 100 000 population),Africa,RWA,Rwanda,2019,Male,14.76
Age-standardized suicide rates (per 100 000 population),Africa,SLE,Sierra Leone,2019,Male,14.8
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2019,Both sexes,14.81
Age-standardized suicide rates (per 100 000 population),Americas,HTI,Haiti,2019,Male,14.87
Age-standardized suicide rates (per 100 000 population),Africa,LSO,Lesotho,2019,Male,146.9
Age-standardized suicide rates (per 100 000 population),Africa,MUS,Mauritius,2019,Male,15.03
Age-standardized suicide rates (per 100 000 population),Europe,FRA,France,2019,Male,15.16
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2019,Both sexes,15.23
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2019,Male,15.35
Age-standardized suicide rates (per 100 000 population),Western Pacific,NZL,New Zealand,2019,Male,15.39
Age-standardized suicide rates (per 100 000 population),Europe,CZE,Czechia,2019,Male,15.44
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2019,Both sexes,15.66
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2019,Both sexes,15.92
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2019,Both sexes,16.06
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2019,Both sexes,16.22
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,DJI,Djibouti,2019,Male,16.25
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2019,Male,16.46
Age-standardized suicide rates (per 100 000 population),Europe,BLR,Belarus,2019,Both sexes,16.49
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2019,Male,16.56
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2019,Male,16.67
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2019,Male,16.71
Age-standardized suicide rates (per 100 000 population),Europe,SWE,Sweden,2019,Male,16.95
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2019,Female,16.96
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2019,Male,16.97
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2019,Both sexes,17.26
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2019,Both sexes,17.37
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2019,Male,17.53
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2019,Male,17.69
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2019,Both sexes,17.73
Age-standardized suicide rates (per 100 000 population),Western Pacific,MNG,Mongolia,2019,Both sexes,18.02
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2019,Male,18.05
Age-standardized suicide rates (per 100 000 population),Europe,KAZ,Kazakhstan,2019,Both sexes,18.05
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2019,Male,18.28
Age-standardized suicide rates (per 100 000 population),Africa,GIN,Guinea,2019,Male,18.36
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2019,Male,18.48
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2019,Male,18.53
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2019,Male,18.56
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2019,Male,18.67
Age-standardized suicide rates (per 100 000 population),Americas,URY,Uruguay,2019,Both sexes,18.83
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2019,Male,18.91
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2019,Male,19.15
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2019,Male,19.39
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2019,Male,19.55
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2019,Male,19.78
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2019,Male,19.99
Age-standardized suicide rates (per 100 000 population),Americas,SLV,El Salvador,2019,Female,2.08
Age-standardized suicide rates (per 100 000 population),Europe,ITA,Italy,2019,Female,2.08
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2019,Both sexes,2.1
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Both sexes,2.11
Age-standardized suicide rates (per 100 000 population),Europe,ISR,Israel,2019,Female,2.13
Age-standardized suicide rates (per 100 000 population),Europe,GEO,Georgia,2019,Female,2.17
Age-standardized suicide rates (per 100 000 population),Americas,MEX,Mexico,2019,Female,2.18
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2019,Both sexes,2.2
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2019,Female,2.22
Age-standardized suicide rates (per 100 000 population),Europe,ALB,Albania,2019,Female,2.22
Age-standardized suicide rates (per 100 000 population),Europe,MLT,Malta,2019,Female,2.25
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,BHR,Bahrain,2019,Female,2.27
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2019,Both sexes,2.28
Age-standardized suicide rates (per 100 000 population),South-East Asia,THA,Thailand,2019,Female,2.3
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2019,Both sexes,2.34
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2019,Female,2.37
Age-standardized suicide rates (per 100 000 population),Western Pacific,MYS,Malaysia,2019,Female,2.39
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRQ,Iraq,2019,Female,2.4
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2019,Female,2.41
Age-standardized suicide rates (per 100 000 population),South-East Asia,TLS,Timor-Leste,2019,Female,2.42
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2019,Female,2.43
Age-standardized suicide rates (per 100 000 population),Americas,GTM,Guatemala,2019,Female,2.53
Age-standardized suicide rates (per 100 000 population),Africa,MUS,Mauritius,2019,Female,2.53
Age-standardized suicide rates (per 100 000 population),Western Pacific,BRN,Brunei Darussalam,2019,Both sexes,2.54
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2019,Both sexes,2.54
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2019,Both sexes,2.55
Age-standardized suicide rates (per 100 000 population),Americas,HND,Honduras,2019,Both sexes,2.58
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2019,Female,2.58
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2019,Both sexes,2.6
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,ARE,United Arab Emirates,2019,Female,2.63
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2019,Both sexes,2.66
Age-standardized suicide rates (per 100 000 population),Europe,ARM,Armenia,2019,Both sexes,2.66
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2019,Both sexes,2.73
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Female,2.75
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2019,Both sexes,2.76
Age-standardized suicide rates (per 100 000 population),South-East Asia,MDV,Maldives,2019,Both sexes,2.76
Age-standardized suicide rates (per 100 000 population),Americas,BRA,Brazil,2019,Female,2.76
Age-standardized suicide rates (per 100 000 population),Europe,ESP,Spain,2019,Female,2.83
Age-standardized suicide rates (per 100 000 population),Americas,PAN,Panama,2019,Both sexes,2.86
Age-standardized suicide rates (per 100 000 population),Europe,BGR,Bulgaria,2019,Female,2.86
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBY,Libya,2019,Female,2.9
Age-standardized suicide rates (per 100 000 population),Europe,TKM,Turkmenistan,2019,Female,2.91
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2019,Female,2.94
Age-standardized suicide rates (per 100 000 population),Western Pacific,TON,Tonga,2019,Female,2.94
Age-standardized suicide rates (per 100 000 population),South-East Asia,MMR,Myanmar,2019,Both sexes,2.96
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2019,Female,2.98
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2019,Male,20.04
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2019,Male,20.09
Age-standardized suicide rates (per 100 000 population),Europe,LTU,Lithuania,2019,Both sexes,20.15
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2019,Male,20.16
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2019,Male,20.21
Age-standardized suicide rates (per 100 000 population),Africa,BWA,Botswana,2019,Both sexes,20.22
Age-standardized suicide rates (per 100 000 population),Africa,BEN,Benin,2019,Male,20.29
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2019,Male,20.69
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2019,Male,20.9
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2019,Male,20.94
Age-standardized suicide rates (per 100 000 population),Western Pacific,VUT,Vanuatu,2019,Both sexes,20.96
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2019,Both sexes,21.16
Age-standardized suicide rates (per 100 000 population),Europe,RUS,Russian Federation,2019,Both sexes,21.6
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2019,Male,21.71
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2019,Male,22.14
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2019,Male,22.4
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2019,Male,22.67
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2019,Male,22.75
Age-standardized suicide rates (per 100 000 population),Africa,CAF,Central African Republic,2019,Both sexes,22.96
Age-standardized suicide rates (per 100 000 population),Africa,MOZ,Mozambique,2019,Both sexes,23.19
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2019,Male,23.31
Age-standardized suicide rates (per 100 000 population),Africa,ZAF,South Africa,2019,Both sexes,23.49
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2019,Both sexes,23.63
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2019,Male,23.99
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2019,Male,24.45
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2019,Male,24.88
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2019,Male,25.15
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2019,Male,25.38
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2019,Male,25.65
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2019,Male,25.74
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2019,Both sexes,25.89
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2019,Male,27.16
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2019,Male,27.4
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2019,Both sexes,28.99
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2019,Male,29.01
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2019,Male,29.68
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2019,Male,3.03
Age-standardized suicide rates (per 100 000 population),Western Pacific,KHM,Cambodia,2019,Female,3.05
Age-standardized suicide rates (per 100 000 population),South-East Asia,BTN,Bhutan,2019,Female,3.08
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2019,Both sexes,3.18
Age-standardized suicide rates (per 100 000 population),Europe,CYP,Cyprus,2019,Both sexes,3.18
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SDN,Sudan,2019,Female,3.26
Age-standardized suicide rates (per 100 000 population),Americas,PRY,Paraguay,2019,Female,3.26
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2019,Female,3.29
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2019,Male,3.3
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2019,Female,3.3
Age-standardized suicide rates (per 100 000 population),Americas,ARG,Argentina,2019,Female,3.31
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2019,Male,3.34
Age-standardized suicide rates (per 100 000 population),Americas,BHS,Bahamas,2019,Both sexes,3.37
Age-standardized suicide rates (per 100 000 population),Africa,SSD,South Sudan,2019,Female,3.38
Age-standardized suicide rates (per 100 000 population),Europe,TJK,Tajikistan,2019,Female,3.38
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2019,Both sexes,3.41
Age-standardized suicide rates (per 100 000 population),Europe,BIH,Bosnia and Herzegovina,2019,Female,3.41
Age-standardized suicide rates (per 100 000 population),Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Female,3.41
Age-standardized suicide rates (per 100 000 population),Western Pacific,LAO,Lao People's Democratic Republic,2019,Female,3.45
Age-standardized suicide rates (per 100 000 population),Europe,PRT,Portugal,2019,Female,3.46
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2019,Female,3.48
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Male,3.51
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Female,3.53
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2019,Female,3.54
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2019,Both sexes,3.57
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2019,Female,3.57
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2019,Male,3.59
Age-standardized suicide rates (per 100 000 population),Americas,ECU,Ecuador,2019,Female,3.6
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2019,Both sexes,3.62
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2019,Male,3.63
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2019,Male,3.65
