"country","rate2019both","rate2019male","rate2019female"
"Tajikistan",4.3,5.7,2.8
"Albania",4.3,5.9,2.7
"Afghanistan",4.1,4.6,3.6
"Mali",4.1,5.3,2.9
"Azerbaijan",4.1,6.6,1.6
"Colombia",3.9,6.1,1.8
"South Sudan",3.9,5.7,2
"Sudan",3.8,4.9,2.8
"Tonga",3.8,5,2.6
"Bangladesh",3.7,5.7,1.7
"Timor-Leste",3.7,5.3,2
"Iraq",3.6,5.2,2
"Cyprus",3.6,6,1.3
"Nigeria",3.5,5,1.9
"Bahamas",3.5,5.9,1.3
"Tunisia",3.3,4.7,1.9
"Armenia",3.3,5.6,1.3
"Mauritania",3.1,4,2.2
"Egypt",3,4,2
"Papua New Guinea",3,4.3,1.6
"Myanmar",2.9,4.9,1.1
"Panama",2.9,4.7,1
"Kuwait",2.9,4.3,0.7
"Peru",2.8,4.2,1.4
"Lebanon",2.8,3.8,1.7
"Maldives",2.7,3.9,0.8
"Brunei",2.7,4.4,0.8
"Algeria",2.5,3.1,1.8
"Indonesia",2.4,3.7,1.1
"Turkey",2.4,3.6,1.2
"Jamaica",2.4,3.7,1.1
"Philippines",2.2,3.1,1.2
"Venezuela",2.1,3.5,0.7
"Honduras",2.1,3.3,0.8
"Jordan",1.6,2.5,0.7
"Sao Tome and Principe",1.5,2.2,0.8
"Saint Vincent and the Grenadines",1,1.3,0.6
"Grenada",0.7,0.6,0.7
"Barbados",0.6,0.9,0.3
"Antigua and Barbuda",0.4,0,0.8
