name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Sunghoon (ENHYPEN),istj,417,98%,96%,96%,96%,Si,Te,Fi,Ne,so/sp,612,ESI,RCOAN,FLVE,Phlegmatic-Melancholic,380,77,47,14,25,15,54,38,37,6,17,12,37
Johann Sebastian Bach,istj,465,98%,60%,98%,98%,Si,Te,Fi,Ne,sp/so,513,LSI,RCOEI,LVFE,Melancholic-Choleric,270,41,41,38,21,17,41,26,17,23,21,12,31
Morgan Freeman,istj,494,65%,47%,47%,98%,Si,Te,Fi,Ne,sp/sx,163,ESI,RCOAN,LVFE,Phlegmatic-Melancholic,219,27,21,22,17,5,24,15,11,12,9,4,17
Angela Merkel,istj,439,97%,90%,97%,97%,Si,Te,Fi,Ne,so/sp,163,LII,RCOEI,LVFE,Phlegmatic [Dominant],380,31,29,35,10,11,45,24,16,20,7,7,36
George Washington,istj,361,95%,96%,97%,99%,Si,Te,Fi,Ne,so/sp,136,ESI,RCOAN,FVLE,Phlegmatic [Dominant],328,43,38,38,15,12,28,23,24,29,9,9,24
Xi Jinping (习近平),istj,339,93%,72%,93%,94%,Si,Te,Fi,Ne,sp/so,136,LSI,RCOEN,LFVE,Choleric-Phlegmatic,210,43,37,40,21,16,38,29,14,31,12,8,19
D.O. (EXO),istj,395,97%,86%,96%,92%,Si,Te,Fi,Ne,sp/so,153,LSI,RCOEN,LVFE,Phlegmatic-Choleric,298,41,29,23,20,6,33,37,16,19,19,5,22
Mike Pence,istj,306,97%,99%,85%,99%,Si,Te,Fi,Ne,sp/so,163,LSE,RCOEN,VLEF,Phlegmatic [Dominant],251,35,29,29,9,5,25,28,20,15,8,3,16
John Jurasek (TheReportOfTheWeek / Reviewbrah),istj,312,99%,89%,71%,93%,Si,Te,Fi,Ne,sp/so,164,LII,RCOAI,LFEV,Phlegmatic-Melancholic,194,31,21,28,12,7,33,29,14,15,9,6,17
Hila Klein (h3h3Productions),istj,288,99%,83%,65%,73%,Si,Te,Fi,Ne,sp/so,946,SLI,RCOAN,FLVE,Phlegmatic [Dominant],146,23,19,30,6,5,23,17,7,18,3,2,17
Todd Grande,istj,229,99%,54%,94%,60%,Si,Te,Fi,Ne,sp/so,512,LII,RCOAI,LFEV,Phlegmatic [Dominant],113,40,28,36,12,8,24,25,12,22,8,3,16
Peter Steele,istj,206,98%,80%,96%,89%,Si,Te,Fi,Ne,sx/sp,548,SLI,RLOEI,FVEL,Melancholic-Choleric,143,43,39,32,16,11,33,34,23,18,14,8,28
Robert de Niro,istj,244,95%,91%,94%,91%,Si,Te,Fi,Ne,sp/sx,864,LSI,RCOEN,LFEV,Melancholic-Choleric,193,22,23,29,12,5,20,16,10,11,8,4,15
5up,istj,178,99%,70%,98%,60%,Si,Te,Fi,Ne,sp/so,513,SLI,RCOEI,LVFE,Phlegmatic-Choleric,105,37,45,21,23,9,29,35,22,11,13,8,27
Eric Zemmour,istj,241,95%,58%,99%,96%,Si,Te,Fi,Ne,sp/so,613,LSI,SCOEI,VLFE,Choleric-Melancholic,131,35,24,14,19,7,17,13,14,12,7,5,12
Thomas Hobbes,istj,189,99%,82%,99%,98%,Si,Te,Fi,Ne,so/sp,613,LSI,RCOEI,FLVE,Melancholic [Dominant],153,31,18,23,8,17,13,17,15,23,6,11,11
Lana Blakely,istj,252,99%,69%,46%,69%,Si,Te,Fi,Ne,sp/so,146,ESI,RCOAI,XXXX,Melancholic-Phlegmatic,94,14,18,12,4,0,10,12,12,7,4,0,9
Rivers Cuomo,istj,217,100%,45%,46%,59%,Si,Te,Fi,Ne,sp/so,964,SLI,RCOAI,LEFV,Melancholic-Phlegmatic,89,20,23,15,10,4,18,10,10,8,5,3,14
Xiumin (EXO),istj,253,97%,99%,61%,89%,Si,Te,Fi,Ne,sp/so,612,SLI,RCOEN,LVFE,Phlegmatic [Dominant],127,20,11,3,7,5,13,16,6,2,7,5,11
Jongho (ATEEZ),istj,215,67%,83%,78%,68%,Si,Te,Fi,Ne,sp/sx,136,LSE,RCOEN,XXXX,Phlegmatic-Choleric,97,21,15,10,6,0,15,11,9,9,5,0,11
Richard Nixon,istj,186,93%,76%,98%,97%,Si,Te,Fi,Ne,so/sp,638,ESI,RLOEN,LFVE,Choleric-Melancholic,133,23,19,21,9,2,19,14,13,13,7,2,13
Warren Buffett,istj,241,94%,64%,98%,71%,Si,Te,Fi,Ne,sp/sx,135,LSE,RLOEN,VLFE,Phlegmatic [Dominant],151,12,7,10,11,1,11,10,2,5,5,1,8
Anthony Fauci,istj,177,96%,82%,95%,93%,Si,Te,Fi,Ne,sp/so,612,LSI,RCOAI,LVFE,Phlegmatic [Dominant],140,25,20,30,12,4,18,24,13,9,7,3,14
Jarosław Kaczyński,istj,226,99%,66%,96%,98%,Si,Te,Fi,Ne,sp/so,853,LSI,RCOEN,LFEV,Phlegmatic [Dominant],146,15,18,6,12,3,14,10,6,4,8,1,6
Artificial Intelligence (A.I.),istj,168,79%,70%,98%,91%,Si,Te,Fi,Ne,sp/so,153,LII,RCOEI,LVFE,Phlegmatic [Dominant],80,24,23,17,15,11,19,14,10,10,11,7,9
Caitlyn Jenner,istj,177,88%,95%,58%,64%,Si,Te,Fi,Ne,sx/sp,146,ESI,RLOEN,VFEL,Phlegmatic [Dominant],91,16,16,11,8,2,13,11,8,6,3,2,7
Theresa May,istj,162,56%,95%,96%,98%,Si,Te,Fi,Ne,sp/sx,613,ESI,RLOAN,VLFE,Choleric [Dominant],84,22,22,19,12,12,23,14,20,15,9,9,13
Müge Anlı,istj,200,68%,98%,98%,99%,Si,Te,Fi,Ne,sp/so,136,ESI,SCOEN,VFEL,Choleric-Melancholic,133,9,12,15,3,3,9,8,10,6,2,3,6
Alex Beltman (I Hate Everything),istj,199,98%,42%,88%,73%,Si,Te,Fi,Ne,sp/so,614,LII,RLOEI,LFEV,Phlegmatic [Dominant],77,10,8,8,13,3,12,8,6,3,6,3,7
Denzel Washington,istj,189,51%,65%,52%,78%,Si,Te,Fi,Ne,so/sx,836,ESI,SCUAN,VEFL,Choleric-Melancholic,81,14,11,13,8,3,12,10,6,4,5,3,4
Khabane Lame,istj,166,97%,96%,99%,89%,Si,Te,Fi,Ne,so/sp,612,SLI,RCOEN,LFVE,Phlegmatic-Melancholic,145,11,21,16,12,3,15,7,8,14,8,3,10
John Deacon,istj,170,100%,89%,52%,88%,Si,Te,Fi,Ne,sp/sx,694,SLI,RLOAI,FVEL,Phlegmatic-Melancholic,83,12,12,8,12,5,15,6,8,5,6,3,11
Kayla Sims (lilsimsie),istj,173,98%,92%,71%,95%,Si,Te,Fi,Ne,so/sp,613,LII,RLOAI,LFEV,Melancholic [Dominant],113,16,14,8,10,4,12,13,9,3,8,2,7
Guillermo Díaz Íbañez (Willyrex),istj,175,70%,64%,39%,43%,Si,Te,Fi,Ne,sp/sx,693,ESI,RCUEI,EFVL,Phlegmatic-Sanguine,59,17,15,3,6,3,17,8,10,1,2,2,10
Lindsay Ellis,istj,156,98%,47%,97%,60%,Si,Te,Fi,Ne,sp/so,154,LII,SCOEI,LFEV,Melancholic-Sanguine,71,14,17,11,9,6,12,10,9,6,6,3,9
Leni Robredo,istj,141,47%,72%,69%,99%,Si,Te,Fi,Ne,sp/so,126,ESE,SCOAI,LVEF,Sanguine-Melancholic,63,21,20,8,13,3,20,10,10,4,12,1,9
Yapura Meri,istj,151,99%,87%,57%,40%,Fi,Se,Ni,Te,sp/so,415,ESI,RLOEI,FEVL,Melancholic-Phlegmatic,57,24,15,1,9,3,15,12,7,1,4,1,7
Newman LM,istj,100,93%,45%,100%,81%,Si,Te,Fi,Ne,sp/so,154,ILI,RLOEI,LVEF,Melancholic-Choleric,42,30,27,15,18,7,32,15,14,5,14,3,20
Ruth Bader Ginsburg,istj,161,98%,82%,96%,99%,Si,Te,Fi,Ne,so/sp,136,LSI,RCOAI,VLFE,Choleric-Phlegmatic,127,10,7,11,4,4,9,8,6,10,3,2,7
Alex (INTJ & INFP Coffee),istj,193,97%,52%,96%,96%,Si,Te,Fi,Ne,sp/sx,594,ILI,RLOEI,LEVF,Melancholic-Phlegmatic,100,7,8,19,5,1,4,6,6,5,5,1,3
Stephanie Patrick,istj,151,98%,50%,95%,98%,Ni,Te,Fi,Se,sx/so,513,LII,RCOEI,LVFE,Phlegmatic-Choleric,73,13,16,10,16,2,9,9,8,7,10,2,6
Matt Damon,istj,152,80%,81%,89%,89%,Si,Te,Fi,Ne,so/sx,136,LSI,SLOEI,XXXX,Melancholic-Sanguine,97,10,10,19,9,0,8,9,5,8,6,0,6
Ruby Granger,istj,137,99%,93%,66%,99%,Si,Te,Fi,Ne,sp/so,163,SLI,RLOAI,VFEL,Melancholic [Dominant],90,17,15,9,8,2,16,16,6,5,5,2,8
Jennifer Connelly,istj,176,99%,53%,51%,94%,Si,Te,Fi,Ne,sx/sp,945,LSI,RCOAI,LVEF,Phlegmatic-Sanguine,81,10,7,18,2,1,11,7,5,10,1,1,6
Sting,istj,136,79%,69%,71%,93%,Si,Te,Fi,Ne,so/sx,368,LSI,RCOEN,LVFE,Melancholic-Choleric,86,14,13,7,6,5,16,6,7,7,4,3,6
Seohyun (SNSD),istj,132,89%,87%,95%,95%,Si,Te,Fi,Ne,sp/so,136,ESI,RCOAN,VLFE,Phlegmatic [Dominant],111,23,9,7,9,1,12,23,9,5,7,1,12
Sérgio Moro,istj,117,100%,91%,98%,97%,Si,Te,Fi,Ne,sp/so,163,ESI,RCOEI,LFEV,Phlegmatic [Dominant],102,13,14,10,11,5,22,8,10,5,4,4,14
Joe Locke,istj,174,91%,62%,52%,56%,Si,Te,Fi,Ne,sp/so,694,ESE,RLOAI,EVLF,Phlegmatic-Sanguine,83,7,8,3,7,3,8,4,4,1,3,1,6
Tulsi Gabbard,istj,123,76%,77%,72%,96%,Si,Te,Fi,Ne,sp/so,136,LSI,RCOAN,LFVE,Phlegmatic [Dominant],67,16,12,11,6,3,11,12,8,8,5,2,8
George H. W. Bush,istj,153,96%,97%,65%,99%,Si,Te,Fi,Ne,so/sx,612,ESI,SLUEN,LVEF,Melancholic [Dominant],95,7,6,12,4,3,7,5,6,6,2,2,7
Efe Aydal,istj,141,96%,83%,98%,89%,Si,Te,Fi,Ne,sp/so,513,LSI,RCOEI,LVFE,Phlegmatic-Choleric,111,14,13,8,2,1,7,13,6,8,2,1,4
Sean Connery,istj,134,81%,82%,81%,91%,Si,Te,Fi,Ne,sp/so,836,LSI,RCOEN,XXXX,Choleric-Sanguine,96,12,12,14,2,0,9,10,8,6,2,0,4
Dwight D. Eisenhower,istj,126,97%,76%,99%,99%,Si,Te,Fi,Ne,so/sp,163,LSE,SCOEN,LVEF,Melancholic-Choleric,95,8,11,15,8,1,5,7,4,7,5,1,3
Marco-Pierre White,istj,100,95%,93%,100%,81%,Si,Te,Fi,Ne,sx/so,847,LSI,RCOEN,VFEL,Melancholic-Choleric,72,19,18,13,4,3,12,13,9,8,3,2,10
Kawhi Leonard,istj,135,100%,87%,96%,67%,Si,Te,Fi,Ne,sp/so,946,SLI,RCOEN,LFVE,Phlegmatic [Dominant],89,6,11,10,3,1,8,6,8,10,2,1,8
Enes Batur Sungurtekin,istj,138,52%,91%,49%,57%,Si,Te,Fi,Ne,sp/so,379,IEE,RCOAN,LFEV,Sanguine [Dominant],64,7,7,5,4,1,10,3,5,2,2,1,5
Tim Cook,istj,116,86%,78%,99%,96%,Si,Te,Fi,Ne,so/sp,351,LSI,RCOEI,LVFE,Phlegmatic-Melancholic,87,14,12,11,3,1,5,10,6,7,3,1,4
Hans-Hermann Hoppe,istj,113,99%,62%,100%,87%,Si,Te,Fi,Ne,sp/so,548,ILI,RCOEI,LVFE,Phlegmatic [Dominant],58,8,14,12,8,3,11,3,7,8,7,2,8
Soraru,istj,126,99%,63%,95%,92%,Si,Te,Fi,Ne,sp/so,613,SLI,RCOAI,EFVL,Phlegmatic [Dominant],76,7,4,7,2,1,12,5,2,6,2,1,9
Victoria Beckham “Posh Spice”,istj,115,78%,84%,79%,84%,Si,Te,Fi,Ne,sp/sx,317,LSI,SCOAN,XXXX,Phlegmatic-Choleric,66,9,12,7,5,0,7,8,6,5,3,0,6
Grayson (Purpled),istj,108,98%,71%,98%,71%,Si,Te,Fi,Ne,sp/so,583,EII,RCOEN,LFVE,Phlegmatic-Choleric,73,8,14,4,5,4,7,6,7,1,3,3,6
Queen Victoria,istj,103,92%,89%,81%,91%,Si,Te,Fi,Ne,sx/sp,612,ESI,RCOAN,VFEL,Phlegmatic-Choleric,77,6,6,10,7,3,8,4,3,9,3,2,4
Liam Hemsworth,istj,122,95%,98%,89%,52%,Si,Te,Fi,Ne,sp/sx,863,LSI,XXXX,XXXX,Phlegmatic-Sanguine,60,7,7,2,0,0,5,4,3,1,0,0,3
Suharto,istj,86,85%,57%,99%,99%,Si,Te,Fi,Ne,sp/sx,863,LSI,RCOEN,VFEL,Choleric [Dominant],38,10,9,8,7,6,17,5,3,7,6,4,8
Calvin Coolidge,istj,93,100%,84%,100%,94%,Si,Te,Fi,Ne,so/sp,153,ILI,RLOEN,VLEF,Melancholic-Phlegmatic,76,9,8,8,7,6,9,7,5,5,4,3,5
Park Jihoon,istj,121,93%,57%,57%,44%,Si,Te,Fi,Ne,sx/sp,937,SEI,RCOAN,XXXX,Sanguine [Dominant],45,7,9,2,2,0,8,6,7,2,2,0,4
Sowon (GFRIEND),istj,89,94%,94%,90%,88%,Si,Te,Fi,Ne,sp/sx,162,ESI,SCOEN,FVLE,Melancholic-Choleric,76,6,7,3,11,2,8,4,4,3,8,2,4
Ivan Zolochevsky (ivanzolo2004),istj,59,95%,95%,97%,92%,Si,Te,Fi,Ne,sp/so,963,LSI,RCOEN,FLVE,Phlegmatic [Dominant],53,15,12,8,12,8,25,9,4,3,4,2,22
Christopher Lee,istj,112,97%,63%,96%,96%,Si,Te,Fi,Ne,so/sx,163,LSI,RCOEI,LFEV,Melancholic-Choleric,69,3,4,6,3,1,5,2,2,3,1,1,4
Roh Jisun (fromis_9),istj,106,93%,77%,93%,98%,Si,Te,Fi,Ne,sp/so,162,SLI,RCOAN,FLEV,Phlegmatic-Melancholic,74,10,3,4,6,1,10,8,2,3,6,1,5
Carlos Sainz Jr.,istj,97,64%,85%,95%,67%,Si,Te,Fi,Ne,sp/so,163,SLI,RCOAI,LFVE,Phlegmatic-Sanguine,42,5,9,4,4,1,9,4,4,3,4,1,3
Suleiman the Magnificent,istj,117,92%,59%,96%,94%,Si,Te,Fi,Ne,sp/sx,153,LSI,XXXX,XXXX,Melancholic-Choleric,64,3,1,5,0,0,2,3,1,4,0,0,2
Aldo Bartra (El Robot de Platón/Robotitus),istj,85,100%,59%,95%,64%,Si,Te,Fi,Ne,so/sp,514,LII,RCOAI,LFVE,Phlegmatic [Dominant],49,9,10,6,3,1,12,8,5,5,2,1,12
Vikkstar,istj,83,90%,70%,89%,75%,Si,Te,Fi,Ne,sp/so,513,ILI,RCOAI,LVEF,Phlegmatic [Dominant],49,8,8,4,4,4,9,6,5,3,3,3,6
Gabriel Bohm (KamiKat),istj,73,96%,79%,82%,82%,Si,Te,Fi,Ne,sp/so,164,LSE,RCOEI,LVFE,Phlegmatic-Melancholic,53,10,13,4,4,3,13,8,4,2,3,2,6
Abraham,istj,100,77%,66%,77%,91%,Si,Te,Fi,Ne,so/sp,162,LSI,RCOAN,VFLE,Phlegmatic-Melancholic,57,3,3,3,2,1,5,2,2,2,1,1,3
İlber Ortaylı,istj,84,93%,95%,100%,94%,Si,Te,Fi,Ne,so/sp,513,LSI,RCOEI,LVEF,Melancholic-Choleric,75,6,9,4,2,2,4,5,6,3,1,1,1
Lee Min-ho,istj,115,62%,45%,47%,63%,Si,Te,Fi,Ne,sp/sx,964,SLI,RCOAN,FLEV,Phlegmatic [Dominant],48,1,4,3,1,1,3,1,3,3,1,1,3
Kim Gaeul (IVE),istj,75,93%,95%,99%,96%,Si,Te,Fi,Ne,so/sp,962,SLI,RCOAI,LVFE,Phlegmatic [Dominant],65,8,5,6,8,4,11,6,3,4,7,4,7
Lauren Chen (Roaming Millennial),istj,89,94%,71%,73%,97%,Si,Te,Fi,Ne,so/sx,126,LSI,RCOAI,XXXX,Sanguine [Dominant],40,7,3,5,2,0,8,7,2,4,1,0,5
Krzysztof Bosak,istj,100,93%,95%,90%,84%,Si,Te,Fi,Ne,sp/so,513,LII,RCOEI,LVFE,Phlegmatic [Dominant],76,4,3,1,3,1,6,4,2,1,2,1,4
Bernadette Banner,istj,74,96%,93%,93%,92%,Si,Te,Fi,Ne,so/sp,514,LII,RCOAI,LFEV,Melancholic [Dominant],66,8,9,5,4,2,5,7,9,4,3,1,4
Eric Barone (ConcernedApe),istj,88,100%,50%,69%,73%,Si,Te,Fi,Ne,sp/sx,514,EII,RCOAI,LEVF,Melancholic [Dominant],43,7,2,4,3,1,3,5,2,3,3,1,2
Matt D'Avella,istj,92,96%,64%,67%,67%,Si,Te,Fi,Ne,so/sp,153,SLI,RLOEN,FVEL,XXXX,58,5,5,4,1,1,0,5,5,2,1,1,0
Abdel Fattah el-Sisi,istj,106,48%,54%,55%,61%,Si,Te,Fi,Ne,sp/so,496,LSI,XXXX,EFVL,Melancholic [Dominant],39,2,2,6,0,1,3,1,1,4,0,1,1
Ben Carson,istj,84,98%,90%,79%,65%,Si,Te,Fi,Ne,sp/so,936,ESI,RCOEN,XXXX,Phlegmatic [Dominant],44,5,5,6,1,0,4,4,5,4,1,0,4
Pope Benedict XVI,istj,66,100%,85%,97%,98%,Si,Te,Fi,Ne,sp/sx,612,LII,RCOAI,LVFE,Melancholic-Choleric,55,11,8,8,4,3,10,4,4,5,3,3,9
Ruri Ohama,istj,78,72%,40%,100%,99%,Si,Te,Fi,Ne,sp/so,317,SLI,RCOEI,FVEL,Phlegmatic-Choleric,31,3,6,4,1,2,4,2,2,3,1,2,2
Mitch McConnell,istj,73,99%,93%,97%,100%,Si,Te,Fi,Ne,sp/so,613,LSE,RCOEN,LFEV,Melancholic [Dominant],65,9,9,5,1,1,4,7,5,4,1,1,4
Akita Neru,istj,69,80%,91%,96%,83%,Si,Te,Fi,Ne,sp/sx,863,LSI,RCOEN,VFLE,Choleric [Dominant],40,2,5,1,4,1,16,2,5,1,3,1,8
Gordon Ramsay,estj,2323,97%,59%,97%,97%,Te,Si,Ne,Fi,sx/so,137,LSE,SCOEI,VFEL,Choleric [Dominant],1319,370,297,215,158,70,294,309,135,111,71,40,246
Ben Shapiro,estj,1762,79%,63%,97%,87%,Te,Si,Ne,Fi,so/sp,136,LSI,SCOEN,LVFE,Choleric [Dominant],993,164,159,150,135,60,165,132,107,65,52,33,120
Park Jihyo (TWICE),estj,688,90%,96%,80%,87%,Te,Si,Ne,Fi,so/sp,613,LSE,SCOAN,VFLE,Sanguine-Choleric,526,71,92,31,55,21,77,58,40,28,33,12,34
Kim Jong-un,estj,635,74%,78%,70%,57%,Te,Si,Ne,Fi,sp/so,837,SEI,SCOEN,VLFE,Choleric [Dominant],282,49,44,58,30,14,51,26,13,33,10,5,29
Kris Jenner,estj,362,97%,91%,87%,97%,Te,Si,Ne,Fi,so/sp,368,LSE,SCOEI,VFLE,Choleric-Phlegmatic,275,39,24,25,15,7,24,25,10,8,7,5,14
Dr. Phil,estj,344,95%,96%,90%,97%,Te,Si,Ne,Fi,so/sp,836,LSI,SCOEN,VLFE,Choleric-Phlegmatic,298,34,29,28,11,4,25,31,14,14,6,4,24
Kim Lip (LOONA),estj,324,97%,98%,98%,91%,Te,Si,Ne,Fi,so/sp,163,LSE,SLOEN,VLFE,Choleric [Dominant],286,40,27,25,18,6,36,33,22,22,16,5,22
Hera,estj,295,98%,96%,63%,99%,Te,Si,Ne,Fi,so/sx,386,ESI,SLOEN,VEFL,Choleric [Dominant],177,25,51,23,11,8,38,13,20,16,10,4,33
Nando Moura,estj,175,90%,97%,95%,95%,Te,Si,Ne,Fi,sx/sp,163,LSE,RLOEN,VFLE,Choleric-Melancholic,146,62,55,24,37,13,59,23,24,17,17,11,36
Ivanka Trump,estj,303,96%,93%,53%,98%,Te,Si,Ne,Fi,so/sx,371,ESE,SCOAN,VEFL,Choleric [Dominant],140,25,8,21,5,4,12,13,7,7,3,2,5
Ciro Gomes,estj,210,100%,65%,99%,76%,Te,Si,Ne,Fi,so/sx,853,LIE,SLOEI,VLFE,Choleric [Dominant],127,36,35,25,23,12,38,14,11,13,10,6,28
Pitbull,estj,199,96%,93%,93%,76%,Te,Si,Ne,Fi,so/sp,371,SEE,SCOEN,FELV,Sanguine [Dominant],141,24,19,17,6,2,20,18,11,11,6,1,13
Abby Lee Miller,estj,140,99%,94%,98%,98%,Te,Si,Ne,Fi,so/sx,386,SLE,SLOEN,VFLE,Choleric [Dominant],127,32,36,24,12,7,30,17,17,16,9,4,29
Ana D'utra Vaz (SuperVulgar),estj,179,94%,80%,88%,92%,Te,Si,Ne,Fi,sx/sp,136,LSI,RLOEI,FLVE,Choleric-Melancholic,126,34,30,10,12,7,39,28,12,4,5,3,28
Dino (SEVENTEEN),estj,205,99%,77%,67%,87%,Te,Si,Ne,Fi,sp/so,361,LSE,SLOEN,VFLE,Choleric-Sanguine,109,30,24,13,8,4,12,23,18,12,4,4,10
Viktor Orbán,estj,197,96%,51%,97%,96%,Te,Si,Ne,Fi,sp/so,836,SLE,SCOEI,VFLE,Choleric-Phlegmatic,95,13,15,14,12,5,20,9,8,11,6,4,11
Giorgia Meloni,estj,174,62%,94%,98%,99%,Te,Si,Ne,Fi,sx/so,163,LSI,SLOEN,VFEL,Choleric [Dominant],95,20,16,13,19,8,25,9,8,13,9,6,21
Jessica Jung,estj,184,58%,75%,90%,72%,Te,Si,Ne,Fi,sp/sx,395,ESI,RCOEN,VLFE,Phlegmatic-Choleric,103,28,14,12,10,4,13,14,8,8,7,2,11
Lyndon B. Johnson,estj,188,100%,93%,100%,56%,Te,Si,Ne,Fi,so/sp,837,SEE,SLOEN,VFEL,Choleric-Melancholic,92,13,15,13,7,2,10,10,10,6,7,1,8
Chris Hansen,estj,158,53%,66%,96%,97%,Te,Si,Ne,Fi,sp/so,135,LSI,RCOEN,VLFE,Melancholic-Phlegmatic,78,20,13,18,9,4,13,13,7,8,5,3,6
Minji (NewJeans),estj,214,56%,94%,94%,96%,Te,Si,Ne,Fi,so/sx,162,LSE,RLOAI,FLEV,Phlegmatic [Dominant],107,10,13,5,11,5,12,8,6,4,7,4,7
Érick Jacquin,estj,154,99%,93%,97%,93%,Te,Si,Ne,Fi,so/sx,136,LSE,SLOEI,VLFE,Choleric-Phlegmatic,137,17,20,11,9,4,21,11,11,7,7,3,13
Henry Ford,estj,162,95%,62%,100%,96%,Te,Si,Ne,Fi,sp/so,836,LSE,SLOEI,VFLE,Choleric-Melancholic,97,21,17,19,6,3,9,13,10,11,5,3,8
Peter Jordan (Ei Nerd),estj,162,99%,56%,98%,55%,Te,Si,Ne,Fi,so/sx,379,LIE,SCOAI,LVEF,Sanguine [Dominant],80,14,17,7,9,4,26,10,9,4,6,2,17
Alec Baldwin,estj,147,97%,82%,99%,97%,Te,Si,Ne,Fi,so/sx,837,SLE,SCOEI,VFLE,Choleric-Sanguine,113,17,13,17,9,7,17,13,9,13,7,5,14
Uma Thurman,estj,162,60%,68%,67%,65%,Te,Si,Ne,Fi,sp/so,854,LSI,RLOEN,ELVF,Phlegmatic-Choleric,90,12,21,20,8,6,10,6,8,8,4,2,5
Ted Cruz,estj,175,92%,77%,93%,80%,Te,Si,Ne,Fi,so/sp,361,EIE,RCUAN,VFLE,Choleric-Sanguine,117,8,12,13,5,3,11,6,5,5,1,2,6
Marine Le Pen,estj,156,96%,97%,62%,54%,Te,Si,Ne,Fi,so/sp,163,SEE,SCOAN,VELF,Choleric [Dominant],71,16,15,14,8,7,21,11,5,8,4,4,10
Diamond Tema,estj,117,60%,56%,98%,95%,Te,Si,Ne,Fi,sp/sx,584,LSE,SCOEI,VLFE,Choleric-Phlegmatic,59,17,26,15,10,6,22,7,12,6,5,6,12
Luciano Huck,estj,128,99%,85%,66%,97%,Te,Si,Ne,Fi,so/sp,317,LSI,SCOEI,VLFE,Sanguine-Phlegmatic,73,18,22,9,14,5,16,9,10,7,12,3,11
Poseidon,estj,149,98%,88%,93%,82%,Te,Si,Ne,Fi,sx/so,863,LSE,RLOEN,VLFE,Choleric-Phlegmatic,103,16,15,10,4,5,16,11,9,6,3,4,10
Alexander Lukashenko,estj,120,78%,93%,96%,85%,Te,Si,Ne,Fi,so/sp,836,LSI,SCOEN,VFLE,Choleric [Dominant],76,18,14,14,11,9,18,6,5,6,6,5,11
